	name	RA_root	fc_root_soil	root_sample_coverage
0001	Verdah1	0.00911520776663999	1.53091903811028	0.63905325443787
0009	Chame1	9.73662883621507e-05	-1.13223150957675	0.029585798816568
0016	Plecuc1	0.0258567943275729	0.842858969711609	0.93491124260355
0021	Daces1	0.019942458641039	0.49213226396434	0.745562130177515
0023	Fusre1	0.0102920311079774	0.446987293919092	0.769230769230769
0026	Ilyeu1	0.00827334565381879	0.531415820739664	0.514792899408284
0034	Parch1	0.0110819427190657	1.54341640766399	0.686390532544379
0040	Altro1	0.000361853358908827	0.719372904992003	0.0355029585798817
0042	Copph3	0.00554319349513401	2.37007696875694	0.313609467455621
0044	Fustri1	0.0397646612938632	1.33967294655077	0.840236686390533
0046	Phapo1	0.000501185609457593	0.362315058072415	0.218934911242604
0058	Rhesp1	0.0298849887919314	2.76922382894363	0.674556213017751
0064	Altalt1	0.00323392942148569	1.4088867733902	0.443786982248521
0066	Olipa1	0.00151833770114589	0.99954517761488	0.408284023668639
0068	Fustr1	0.0118734727189023	1.36895758121569	0.792899408284024
0072	Fusco1	0.0465746014377822	0.0996824871405958	0.940828402366864
0073	Truan1	0.00420831004504267	-0.445918730748321	0.568047337278107
0079	Chagl1	0.000225858731551472	-0.384566880160718	0.0236686390532544
0080	Macpha1	0.000180451954057047	-1.548750979604	0.00591715976331361
0083	Sorhu1	0.000222423337635142	-1.10491900691487	0.0236686390532544
0091	Fusso1	0.003537951716609	-0.256069295243168	0.49112426035503
0094	Fusoxy1	0.00371671083127288	0.190189594337621	0.751479289940828
0096	Thacu1	NA	NA	0
0100	Boeex1	0.0077455515856597	1.19229345959585	0.562130177514793
0104	Morel_U14_1	0.00819178480907297	-0.871607461743619	0.775147928994083
0113	Fuseq1	0.00603768061783816	-1.31778110124916	0.674556213017751
0117	Plecucu1	0.00363633031499585	1.33667875284728	0.502958579881657
0119	Lepor2	0.0597046445374474	2.61495697690189	0.72189349112426
0120	Parchr1	0.00430987471965356	1.66612001509753	0.319526627218935
0126	Phimu1	0.00320716695432335	3.68786981792725	0.0828402366863905
0127	Pyrly1	0.00708852941164757	1.41925016011359	0.473372781065089
0129	Chafu1	0.000208889749706076	-0.532597079953181	0.0118343195266272
0134	Neora1	0.0095108325478237	0.401319806174239	0.650887573964497
0135	Zalva1	0.00287878949219488	1.17047135562676	0.349112426035503
0147	Dacma1	0.0666468196825278	0.418669247783192	0.792899408284024
0201	Fusven1	0.00408047239622889	0.802672960563335	0.550295857988166
0212	Fusoxys1	0.00745943879752978	0.110617924928299	0.828402366863905
0230	Mictri1	0.000403678021885257	0.551877203518812	0.260355029585799
0235	Stael1	6.02300789014034e-05	-0.982033310811093	0
0241	Cylol1	0.000230467809476132	-0.915547828211547	0.0828402366863905
0243	Denna1	0.00185283692983875	0.762825658998377	0.526627218934911
